"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 08 22:46:25 CST 2022","Wed Jun 08 22:46:25 CST 2022","402","testcase","test_api3","TestApi3","","","test_get_token[args_name0]",""
"passed","Wed Jun 08 22:46:25 CST 2022","Wed Jun 08 22:46:25 CST 2022","52","testcase","test_api3","TestApi3","","","test_get_token[args_name1]",""
